player_name	team	position	foot	goals	agg_position
Gareth Frank Bale	Real Madrid	Right Wing	Left Foot	0.2777777777777778	Right Wing
Daniel Carvajal Ramos	Real Madrid	Right Back	Right Foot	0.0	Right Back
Luka Modrić	Real Madrid	Right Center Midfield	Right Foot	0.1935483870967742	Center Midfield
Toni Kroos	Real Madrid	Left Center Midfield	Right Foot	0.0869565217391304	Center Midfield
Javier Ignacio Aquino Carmona	Rayo Vallecano	Left Midfield	Right Foot	0.0	Left Wing
Joaquín José Marín Ruiz	Rayo Vallecano	Right Back	Right Foot	0.0	Right Back
Antonio Amaya Carazo	Real Betis	Right Center Back	Right Foot	0.0	Center Back
Abdoulaye Ba	Rayo Vallecano	Right Center Back	Right Foot	0.0	Center Back
Cristian Darío Álvarez	Espanyol	Goalkeeper	Right Foot	0.0	Goalkeeper
Roberto Trashorras Gayoso	Rayo Vallecano	Left Center Midfield	Right Foot	0.0	Center Midfield
Emiliano Adrián Insúa Zapata	Rayo Vallecano	Left Back	Left Foot	0.0	Left Back
Luis Carlos Pereira Carneiro	Rayo Vallecano	Left Wing	Right Foot	0.0	Left Wing
Gaël Kakuta	Rayo Vallecano	Right Wing	Left Foot	0.0	Right Wing
Roberto Román Triguero	Rayo Vallecano	Right Back	Right Foot	0.0	Right Back
Jozabed Sánchez Ruiz	Celta Vigo	Left Center Midfield	Right Foot	0.0	Center Midfield
Alberto Bueno Calvo	Rayo Vallecano	Center Attacking Midfield	Right Foot	0.2	Attacking Midfield
Leonardo Carrilho Baptistão	Espanyol	Center Forward	Right Foot	0.0	Striker
Luís Carlos Ramos Martins	Granada	Left Center Forward	Left Foot	0.0	Striker
Francisco Medina Luna	Rayo Vallecano	Center Attacking Midfield	Left Foot	0.0	Attacking Midfield
Eddy Silvestre Pascual İsrafilov	Granada	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Francisco Manuel Rico Castro	Granada	Center Attacking Midfield	Right Foot	0.1666666666666666	Attacking Midfield
Jeison Fabián Murillo Cerón	Celta Vigo	Center Back	Right Foot	0.0	Center Back
Allan Romeo Nyom	Granada	Right Back	Right Foot	0.0	Right Back
Manuel Rolando Iturra Urrutia	Granada	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Youssef El-Arabi	Granada	Center Forward	Right Foot	0.0	Striker
Jean-Sylvain Claude Babin	Granada	Right Center Back	Right Foot	0.0	Center Back
Isaac Ajayi Success	Granada	Right Center Forward	Right Foot	0.0	Striker
Dimitri Foulquier	Granada	Left Back	Right Foot	0.0	Left Back
Héctor Yuste Cantón	Granada	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Javier Márquez Moreno	Granada	Right Center Midfield	Left Foot	0.0	Center Midfield
Javier Alejandro Mascherano	Barcelona	Left Center Back	Right Foot	0.0051282051282051	Center Back
Sergio Escudero Palomo	Sevilla	Left Back	Left Foot	0.0	Left Back
Martín Montoya Torralbo	Barcelona	Right Back	Right Foot	0.0	Right Back
Alejandro Felip Selma	Getafe	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Iván López Álvarez	Getafe	Center Forward	Right Foot	0.0	Striker
Sergi Roberto Carnicer	Barcelona	Right Back	Right Foot	0.0170454545454545	Right Back
Vicente Guaita Panadero	Getafe	Goalkeeper	Right Foot	0.0	Goalkeeper
Emiliano Daniel Velázquez Maldonado	Getafe	Left Center Back	Right Foot	0.0	Center Back
Fredy Hinestroza Arias	Getafe	Center Attacking Midfield	Left Foot	0.0	Attacking Midfield
Álvaro Arroyo Martínez	Getafe	Right Back	Left Foot	0.0	Right Back
Papa Babacar Diawara	Getafe	Center Forward	Right Foot	0.0	Striker
Roberto Lago Soto	Celta Vigo	Left Back	Left Foot	0.0	Left Back
Emiliano Buendía	Getafe	Left Wing	Right Foot	0.0	Left Wing
José Luis García del Pozo	Málaga	Left Center Midfield	Right Foot	0.0	Center Midfield
Juan Miguel Jiménez López	Real Sociedad	Left Center Forward	Right Foot	0.3333333333333333	Striker
Luis Alberto Romero Alconchel	Deportivo La Coruna	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Munir El Haddadi Mohamed	Barcelona	Left Wing	Left Foot	0.2058823529411764	Left Wing
Sandro Ramírez Castillo	Barcelona	Left Wing	Right Foot	0.2	Left Wing
Sergi Darder Moll	Espanyol	Right Center Midfield	Right Foot	0.0	Center Midfield
Douglas Pereira dos Santos	Barcelona	Right Back	Right Foot	0.0	Right Back
Juan Pablo Añor Acosta	Málaga	Center Forward	Left Foot	0.1666666666666666	Striker
Samuel Castillejo Azuaga	Villarreal	Left Midfield	Left Foot	0.0	Left Wing
Roberto José Rosales Altuve	Málaga	Right Back	Right Foot	0.0	Right Back
Nordin Amrabat	Morocco	Center Forward	Right Foot	0.0	Striker
Rafael Alcântara do Nascimento	Barcelona	Right Center Midfield	Left Foot	0.1428571428571428	Center Midfield
Iago Aspas Juncal	Celta Vigo	Center Forward	Left Foot	0.4285714285714285	Striker
Gerard Deulofeu Lázaro	Barcelona	Right Wing	Right Foot	0.0833333333333333	Right Wing
Kevin Gameiro	Sevilla	Center Forward	Right Foot	0.1666666666666666	Striker
Claudio Andrés Bravo Muñoz	Barcelona	Goalkeeper	Right Foot	0.0	Goalkeeper
Daniel Filipe Martins Carriço	Sevilla	Left Center Back	Right Foot	0.0	Center Back
Diogo José Rosário Gomes Figueiras	Sevilla	Left Back	Right Foot	0.0	Left Back
Luis Alberto Suárez Díaz	Barcelona	Center Forward	Right Foot	0.7213114754098361	Striker
António Alberto Bastos Pimparel	Sevilla	Goalkeeper	Right Foot	0.0	Goalkeeper
Carlos Arturo Bacca Ahumada	Villarreal	Center Forward	Right Foot	0.0833333333333333	Striker
Jorge Andújar Moreno	Sevilla	Right Back	Right Foot	0.1	Right Back
Denis Suárez Fernández	Barcelona	Left Center Midfield	Right Foot	0.0625	Center Midfield
Aleix Vidal Parreu	Barcelona	Right Back	Right Foot	0.088235294117647	Right Back
Víctor Machín Pérez	Sevilla	Left Wing	Right Foot	0.2	Left Wing
Grzegorz Krychowiak	Poland	Right Center Midfield	Right Foot	0.1428571428571428	Center Midfield
Ivan Rakitić	Barcelona	Right Center Midfield	Right Foot	0.142156862745098	Center Midfield
Neymar da Silva Santos Junior	Barcelona	Left Wing	Right Foot	0.4912280701754385	Left Wing
Iván Santiago Pérez Maceira	Deportivo La Coruna	Right Center Midfield	Left Foot	0.0	Center Midfield
Lassad Hassen Nouioui	Deportivo La Coruna	Center Forward	Right Foot	0.0	Striker
Juan Domínguez Lamas	Deportivo La Coruna	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Laureano Sanabria Ruiz	Deportivo La Coruna	Right Back	Right Foot	0.0	Right Back
Ander Iturraspe Derteano	Athletic Club	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Mikel San José Domínguez	Athletic Club	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Matteo Contini	Real Zaragoza	Left Center Back	Left Foot	0.0	Center Back
Jirí Jarošík	Real Zaragoza	Center Back	Right Foot	0.0	Center Back
Leonardo Daniel Ponzio	Real Zaragoza	Left Center Midfield	Right Foot	0.0	Center Midfield
Humberto Andrés Suazo Pontivo	Real Zaragoza	Center Forward	Right Foot	0.0	Striker
Jorge Resurrección Merodio	Atlético Madrid	Left Midfield	Right Foot	0.032258064516129	Left Wing
Roberto Jiménez Gago	Real Zaragoza	Goalkeeper	Right Foot	0.0	Goalkeeper
Óscar de Marcos Arana	Athletic Club	Right Back	Right Foot	0.0555555555555555	Right Back
Antonio Ramiro Pérez	Xerez	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Alejandro Bergantiños García	Deportivo La Coruna	Right Defensive Midfield	Right Foot	0.4285714285714285	Defensive Midfield
Eduardo Ramos Gómez	Málaga	Right Center Midfield	Right Foot	0.0	Center Midfield
Daniel Toribio Gutiérrez	Málaga	Left Center Midfield	Left Foot	0.0	Center Midfield
Milan Stepanov	Málaga	Right Center Back	Left Foot	0.0	Center Back
Ben Sahar	Espanyol	Left Wing	Right Foot	0.0	Left Wing
José Raúl Baena Urdiales	Espanyol	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Víctor Ruíz Torre	Villarreal	Left Center Back	Left Foot	0.0625	Center Back
Pablo Daniel Osvaldo	Espanyol	Center Forward	Right Foot	0.3333333333333333	Striker
Juan Daniel Forlín	Espanyol	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Dídac Vilá Rosselló	Espanyol	Left Back	Left Foot	0.0	Left Back
Thiago Alcântara do Nascimento	Barcelona	Left Center Midfield	Right Foot	0.1111111111111111	Center Midfield
Luis Manuel Villa López	Racing Santander	Center Forward	Right Foot	0.0	Striker
Manuel Jesús Arana Rodríguez	Racing Santander	Right Wing	Right Foot	0.0	Right Wing
José Ángel Crespo Rincón	Córdoba	Left Back	Left Foot	0.0	Left Back
Papa Kouly Diop	Racing Santander	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Sergio Canales Madrazo	Real Sociedad	Center Attacking Midfield	Left Foot	0.1176470588235294	Attacking Midfield
Henrique Adriano Buss	Racing Santander	Left Center Back	Right Foot	0.0	Center Back
Kepa Blanco Gonzalez	Sevilla	Right Center Forward	Right Foot	0.0	Striker
Derek Owusu Boateng	Eibar	Left Center Midfield	Right Foot	0.0	Center Midfield
Miguel Torres Gómez	Getafe	Left Back	Left Foot	0.0	Left Back
Jordi Codina Rodríguez	Getafe	Goalkeeper	Right Foot	0.0	Goalkeeper
Ricardo Izecson dos Santos Leite	Real Madrid	Center Attacking Midfield	Right Foot	0.1666666666666666	Attacking Midfield
Matías Gustavo Alustiza	Xerez	Left Wing	Right Foot	0.0	Left Wing
Vicente Moreno Peris	Xerez	Left Center Midfield	Right Foot	0.0	Center Midfield
Carlos Calvo Sobrado	Xerez	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Leandro Andrés Gioda	Xerez	Center Back	Right Foot	0.0	Center Back
Emiliano Daniel Armenteros	Xerez	Left Wing	Left Foot	0.0	Left Wing
David Prieto Gálvez	Xerez	Left Center Back	Right Foot	0.0	Center Back
Aythami Artiles Oliva	Las Palmas	Right Center Back	Right Foot	0.0	Center Back
Francisco Jesús Pérez Malia	Racing Santander	Right Back	Right Foot	0.0	Right Back
Fabián Ariel Orellana Valenzuela	Celta Vigo	Right Wing	Right Foot	0.0	Right Wing
Sidi Yaya Keita	Xerez	Left Center Midfield	Right Foot	0.0	Center Midfield
Mario Bermejo Castanedo	Celta Vigo	Center Forward	Right Foot	0.4	Striker
Fernando Martín Forestieri	Málaga	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Manuel Torres Caturla	Málaga	Left Back	Left Foot	0.0	Left Back
Xavier Torres Buigues	Levante	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Victor Obinna Nsofor	Málaga	Center Forward	Right Foot	0.0	Striker
Nicolás Ladislao Fedor Flores	Getafe	Center Forward	Right Foot	0.0	Striker
Jérémy Mathieu	Barcelona	Left Center Back	Left Foot	0.0491803278688524	Center Back
"Modeste M""bami"	Almería	Left Center Midfield	Right Foot	0.0	Center Midfield
Ibrahima Baldé	Osasuna	Center Forward	Right Foot	0.0	Striker
Marc Bartra Aregall	Barcelona	Right Center Back	Right Foot	0.0769230769230769	Center Back
Álvaro Domínguez Soto	Atlético Madrid	Left Back	Left Foot	0.0	Left Back
David de Gea Quintana	Spain	Goalkeeper	Right Foot	0.0	Goalkeeper
Tiago Cardoso Mendes	Atlético Madrid	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Roberto Canella Suárez	Sporting Gijón	Left Back	Left Foot	0.0	Left Back
Alberto Lora Ramos	Sporting Gijón	Right Back	Right Foot	0.0	Right Back
Grégory Arnolin	Sporting Gijón	Left Center Back	Right Foot	0.0	Center Back
Cristian Portilla Rodríguez	Sporting Gijón	Left Center Midfield	Left Foot	0.0	Center Midfield
Alberto Botía Rabasco	Sporting Gijón	Right Center Back	Right Foot	0.2	Center Back
Nivaldo Batista Santana	Real Valladolid	Left Back	Left Foot	0.0	Left Back
Justo Wilmar Villar Viveros	Real Valladolid	Goalkeeper	Right Foot	0.0	Goalkeeper
Carlos Lázaro Vallejo	Real Valladolid	Right Center Midfield	Right Foot	0.0	Center Midfield
Jordi Alba Ramos	Barcelona	Left Back	Left Foot	0.0481927710843373	Left Back
Ángel Dealbert Ibáñez	Valencia	Left Center Back	Right Foot	0.0	Center Back
Alejandro Damián Domínguez	Rayo Vallecano	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Karim Benzema	Real Madrid	Center Forward	Right Foot	0.3870967741935484	Striker
Álvaro Arbeloa Coca	Real Madrid	Right Back	Right Foot	0.0	Right Back
Xabier Alonso Olano	Real Madrid	Left Center Midfield	Right Foot	0.1	Center Midfield
Cristiano Ronaldo dos Santos Aveiro	Real Madrid	Left Wing	Right Foot	0.6875	Left Wing
Jonathan dos Santos Ramírez	Barcelona	Right Center Midfield	Right Foot	0.0	Center Midfield
Felipe Mattioni Rohde	Mallorca	Right Back	Right Foot	0.0	Right Back
Miguel Ángel Nieto de la Calle	Almería	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Hernán Darío Bernardello	Almería	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Míchel Macedo Rocha Machado	Las Palmas	Right Back	Right Foot	0.0	Right Back
José Manuel Flores Moreno	Almería	Right Center Back	Right Foot	0.0	Center Back
Sergio Gontán Gallardo	Real Valladolid	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Nauzet Alemán Viera	Real Valladolid	Right Wing	Right Foot	0.0	Right Wing
Antonio Barragán Fernández	Valencia	Right Back	Right Foot	0.0	Right Back
Raúl Rodríguez Navas	Real Sociedad	Left Center Back	Right Foot	0.0	Center Back
Alberto Mateus Contreiras Gonçalves	Rayo Vallecano	Center Forward	Left Foot	0.1666666666666666	Striker
Jacobo Sanz Ovejero	Real Valladolid	Goalkeeper	Right Foot	0.0	Goalkeeper
Diego da Silva Costa	Atlético Madrid	Center Forward	Right Foot	0.2222222222222222	Striker
Henrique Sereno Fonseca	Real Valladolid	Right Center Back	Right Foot	0.0	Center Back
Vítor Hugo Gomes Passos	Real Valladolid	Left Wing	Right Foot	0.0	Left Wing
Víctor Casadesús Castaño	Mallorca	Center Forward	Right Foot	0.2	Striker
Alhassane Keita	Mallorca	Left Defensive Midfield	Right Foot	0.5	Defensive Midfield
Dudú Aouate	Mallorca	Goalkeeper	Right Foot	0.0	Goalkeeper
Antoni Lluis Adrover Colom	Mallorca	Center Forward	Left Foot	0.0	Striker
Mario Suárez Mata	Atlético Madrid	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Iván Ramis Barrios	Mallorca	Left Center Back	Right Foot	0.0	Center Back
José Miguel González Rey	Mallorca	Right Back	Right Foot	0.0	Right Back
Juliano Roberto Antonello	Deportivo La Coruna	Right Center Midfield	Right Foot	0.0	Center Midfield
Diego Daniel Colotto	Deportivo La Coruna	Right Center Back	Right Foot	0.0	Center Back
Miguel Ángel Ferrer Martínez	Atlético Madrid	Center Forward	Left Foot	0.0	Striker
Telmário de Araújo Sacramento	Tenerife	Right Wing	Right Foot	0.0	Right Wing
Ayoze García Pérez	Sporting Gijón	Left Wing	Left Foot	0.0	Left Wing
Ricardo León Brito	Tenerife	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Pedro Ríos Maestre	Getafe	Right Wing	Right Foot	0.0	Right Wing
Óscar Alfredo Ustari	Getafe	Goalkeeper	Right Foot	0.0	Goalkeeper
Daniel Parejo Muñoz	Valencia	Right Center Midfield	Right Foot	0.1666666666666666	Center Midfield
Adrián González Morales	Racing Santander	Center Attacking Midfield	Left Foot	0.0	Attacking Midfield
David Fuster Torrijos	Villarreal	Right Center Forward	Head	0.0	Striker
Nilmar Honorato da Silva	Villarreal	Left Center Forward	Right Foot	0.25	Striker
"Steve Franck Songo""o"	Real Zaragoza	Right Midfield	Not Specified	0.0	Right Wing
Juan Pablo Carrizo	Real Zaragoza	Goalkeeper	Right Foot	0.0	Goalkeeper
Pablo Amo Aguado	Real Zaragoza	Right Center Back	Right Foot	0.0	Center Back
Rubén Martín Pulido	Getafe	Right Back	Right Foot	0.0	Right Back
Abel Enrique Aguilar Tapia	Deportivo La Coruna	Left Center Midfield	Right Foot	0.0	Center Midfield
Javier Paredes Arango	Real Zaragoza	Left Back	Left Foot	0.0	Left Back
Ander Herrera Agüera	Athletic Club	Center Attacking Midfield	Right Foot	0.2222222222222222	Attacking Midfield
Jermaine Pennant	Leeds United	Right Midfield	Right Foot	0.0	Right Wing
Dmytro Chygrynskiy	Barcelona	Left Center Back	Right Foot	0.0	Center Back
Jorge Galán Anaut	Osasuna	Center Forward	Left Foot	0.0	Striker
Roberto López Esquiroz	Osasuna	Right Center Midfield	Right Foot	0.0	Center Midfield
Jeffren Isaac Suárez Bermúdez	Barcelona	Right Wing	Left Foot	0.1764705882352941	Right Wing
Alain Didier Zokora-Déguy	Sevilla	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Ángel Luis Rodríguez Díaz	Getafe	Right Center Forward	Right Foot	0.1111111111111111	Striker
Julián Omar Ramos Suárez	Leganés	Left Center Midfield	Left Foot	0.0	Center Midfield
Juan Francisco Martínez Modesto	Osasuna	Center Forward	Right Foot	0.0	Striker
Sergio Aragoneses Almeida	Tenerife	Goalkeeper	Right Foot	0.0	Goalkeeper
Ezequiel Luna	Tenerife	Left Center Back	Right Foot	0.0	Center Back
Héctor Sánchez Cabrera	Tenerife	Left Back	Left Foot	0.0	Left Back
Alejandro Alfaro Ligero	Mallorca	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Mikel Alonso Olano	Tenerife	Left Center Midfield	Right Foot	0.0	Center Midfield
Manuel Martínez Lara	Tenerife	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Maxwell Scherrer Cabelino Andrade	Barcelona	Left Back	Left Foot	0.0	Left Back
Pablo Sicilia Roig	Tenerife	Left Center Back	Right Foot	0.0	Center Back
Juan Luis Hens Lorite	Tenerife	Right Back	Right Foot	0.0	Right Back
José Carlos Fernández Vázquez	Rayo Vallecano	Left Midfield	Left Foot	0.0	Left Wing
Marc Valiente Hernández	Real Valladolid	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Marius Stankevičius	Sevilla	Right Back	Right Foot	0.0	Right Back
Abdoulay Konko	Sevilla	Right Back	Right Foot	0.0	Right Back
Arouna Koné	Levante	Center Forward	Right Foot	0.0	Striker
Zlatan Ibrahimović	Barcelona	Center Forward	Right Foot	0.5384615384615384	Striker
Alex Fernandez Sanchez	Espanyol	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
José Emilio Amavisca Gárate	Espanyol	Left Wing	Left Foot	0.0	Left Wing
Ángel Morales Cuerva	Espanyol	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Mauricio Roberto Pochettino Trossero	Espanyol	Right Center Back	Right Foot	0.0	Center Back
Antonio Álvarez Pérez	Espanyol	Right Center Midfield	Right Foot	0.0	Center Midfield
Hugo Benjamín Ibarra	AS Monaco	Right Back	Right Foot	0.0	Right Back
Henrik Larsson	Barcelona	Center Forward	Right Foot	0.4166666666666667	Striker
Jaime Asensio De La Fuente	Getafe	Left Center Forward	Right Foot	0.0	Striker
Jorge Gonzalez Diaz	Getafe	Right Center Forward	Right Foot	0.0	Striker
Francisco Javier Sánchez Broto	Getafe	Goalkeeper	Right Foot	0.0	Goalkeeper
Mario Gutiérrez Cotelo	Getafe	Right Midfield	Right Foot	0.0	Right Wing
José Manuel Yanguas Calleja	Getafe	Right Back	Right Foot	0.0	Right Back
David Belenguer Reverter	Getafe	Right Center Back	Right Foot	0.0	Center Back
Maximiliano Gastón López	Barcelona	Center Forward	Not Specified	0.0	Striker
Diego Rivas Gutiérrez	Real Sociedad	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Gheorghe Craioveanu	Getafe	Center Forward	Left Foot	0.0	Striker
Jerónimo Figueroa Cabrera	Las Palmas	Left Midfield	Left Foot	0.0	Left Wing
Sergio Rodríguez García	Barcelona	Left Center Back	Right Foot	0.0	Center Back
Ronald Louis Gaspercic	Albacete	Goalkeeper	Right Foot	0.0	Goalkeeper
Óscar Montiel Marín	Albacete	Right Back	Right Foot	0.0	Right Back
Pablo Redondo Martínez	Albacete	Right Wing	Right Foot	0.0	Right Wing
David Sánchez Rodríguez	Albacete	Right Center Midfield	Left Foot	0.0	Center Midfield
Rubén González Rocha	Osasuna	Right Center Back	Right Foot	0.0	Center Back
Gustavo Lionel Siviero	Albacete	Left Center Back	Left Foot	0.0	Center Back
Mikel Aguirregomezkorta Larrea	Albacete	Center Forward	Right Foot	0.0	Striker
Diego Camacho Quesada	Levante	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Rubén Iván Martínez Andrade	Rayo Vallecano	Goalkeeper	Right Foot	0.0	Goalkeeper
José Alejandro Suárez Martín	Levante	Left Center Back	Left Foot	0.0	Center Back
Jose Antonio Culebras Arenas	Tenerife	Right Center Back	Right Foot	0.0	Center Back
Juan Luis Mora Palacios	Levante	Goalkeeper	Right Foot	0.0	Goalkeeper
Jofre González Mateu	Levante	Left Wing	Left Foot	1.0	Left Wing
Fabio Celestini	Getafe	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Vladimir Manchev	Levante	Center Forward	Right Foot	0.0	Striker
Walter Horacio Peralta Saracho	Albacete	Right Center Midfield	Not Specified	0.0	Center Midfield
Rubén Castro Martín	Real Betis	Left Center Forward	Right Foot	0.6363636363636364	Striker
Iván Díaz Ruiz	Albacete	Right Center Midfield	Right Foot	0.0	Center Midfield
Thiago Motta	Barcelona	Center Defensive Midfield	Left Foot	0.0588235294117647	Defensive Midfield
Agustín García Iñiguez	Albacete	Left Center Back	Left Foot	0.0	Center Back
Gaspar Gálvez Burgos	Albacete	Left Center Midfield	Right Foot	0.0	Center Midfield
Raúl Valbuena Cano	Albacete	Goalkeeper	Right Foot	0.0	Goalkeeper
Carles Domingo Pladevall	Albacete	Left Back	Left Foot	0.0	Left Back
Laurent Viaud	Albacete	Center Midfield	Right Foot	0.0	Center Midfield
"Antonio Pacheco D""Agosti"	Albacete	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Santiago Denia Sánchez	Albacete	Right Back	Right Foot	0.0	Right Back
Jaime Sánchez Fernández	Albacete	Left Center Midfield	Right Foot	0.0	Center Midfield
Francisco Javier Rodríguez Vílchez	Albacete	Right Midfield	Right Foot	0.0	Right Wing
Ludovic Delporte	Osasuna	Left Wing	Left Foot	0.0	Left Wing
John Aloisi	Deportivo Alavés	Center Forward	Left Foot	0.0	Striker
Ricardo Sanzol Goñi	Osasuna	Goalkeeper	Right Foot	0.0	Goalkeeper
Ludovic Giuly	Barcelona	Right Wing	Right Foot	0.2068965517241379	Right Wing
Enrique Corrales Martín	Osasuna	Left Back	Left Foot	0.0	Left Back
José Izquierdo Martínez	Osasuna	Right Back	Right Foot	0.0	Right Back
Paulo César Wanchope Watson	Málaga	Right Center Midfield	Right Foot	0.0	Center Midfield
Francisco Esteban Granados	Málaga	Right Wing	Right Foot	0.0	Right Wing
Carlos Manuel de Oliveira Magalhães	Málaga	Right Center Back	Right Foot	0.0	Center Back
Raúl Iznata Zabala	Málaga	Left Back	Left Foot	0.0	Left Back
Fernando Sanz Durán	Málaga	Left Center Back	Right Foot	0.0	Center Back
Juan Jesús Calatayud Sánchez	Hércules	Goalkeeper	Right Foot	0.0	Goalkeeper
Juliano Haus Belletti	Barcelona	Right Back	Right Foot	0.0	Right Back
Márcio Amoroso dos Santos	Málaga	Center Forward	Right Foot	0.0	Striker
Edgar Patricio De Carvalho Pacheco	Málaga	Left Wing	Right Foot	0.0	Left Wing
Antonio Manuel Sánchez Gómez	Málaga	Right Wing	Right Foot	0.0	Right Wing
Giovanni van Bronckhorst	Barcelona	Left Back	Left Foot	0.0	Left Back
David Rodríguez Lombán	Elche	Right Center Back	Right Foot	0.0	Center Back
Ángel Montoro Sánchez	Granada	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Ángel Javier Arizmendi de Lucas	Getafe	Right Wing	Right Foot	0.0	Right Wing
Fernando Morientes Sánchez	Valencia	Center Forward	Right Foot	0.0	Striker
José Santiago Cañizares Ruíz	Valencia	Goalkeeper	Drop Kick	0.0	Goalkeeper
Iván Helguera Bujía	Real Madrid	Right Center Back	Right Foot	0.0	Center Back
Miguel Ángel Angulo Valderrey	Valencia	Center Forward	Right Foot	0.3333333333333333	Striker
Eduardo César Daude Gaspar	Arsenal	Left Defensive Midfield	Left Foot	0.0666666666666666	Defensive Midfield
Timo Hildebrand	Valencia	Goalkeeper	Right Foot	0.0	Goalkeeper
Marco Antonio Simoes Caneira	Valencia	Left Back	Right Foot	0.0	Left Back
Ruud van Nistelrooy	Real Madrid	Center Forward	Right Foot	0.5714285714285714	Striker
Róbson de Souza	Real Madrid	Left Wing	Right Foot	0.0	Left Wing
Kléper Laveran Lima Ferreira	Real Madrid	Right Center Back	Right Foot	0.0909090909090909	Center Back
Mahamadou Diarra	Real Madrid	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Víctor Vázquez Solsona	Barcelona	Left Wing	Right Foot	0.0	Left Wing
Silvestre Manuel Gonçalves Varela	Recreativo Huelva	Left Midfield	Right Foot	0.0	Left Wing
Eduardo Moya Castillo	Recreativo Huelva	Right Center Back	Right Foot	0.0	Center Back
Enrique Álvarez San Juan	Recreativo Huelva	Right Center Back	Right Foot	0.0	Center Back
Albert Celades López	Real Zaragoza	Right Center Midfield	Right Foot	0.0	Center Midfield
Óscar Javier González Marcos	Real Zaragoza	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Roberto Fabián Ayala	Valencia	Left Center Back	Right Foot	0.0	Center Back
Pablo Álvarez Nuñez	Deportivo La Coruna	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Fabio Coltorti	Racing Santander	Goalkeeper	Right Foot	0.0	Goalkeeper
Jordi López Felpeto	Racing Santander	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Laurențiu Dumitru Roșu	Recreativo Huelva	Left Center Forward	Head	0.0	Striker
José Zahinos	Recreativo Huelva	Right Center Midfield	Right Foot	0.0	Center Midfield
Stefano Sorrentino	Recreativo Huelva	Goalkeeper	Right Foot	0.0	Goalkeeper
Marcos García Barreno	Real Valladolid	Left Midfield	Left Foot	0.3333333333333333	Left Wing
José María Calvo	Gimnàstic Tarragona	Right Back	Right Foot	0.0	Right Back
Carlos Jorge Neto Martins	Recreativo Huelva	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Jose Luis Martí Soler	Mallorca	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Alexander Kerzhakov	Sevilla	Right Center Forward	Right Foot	0.5	Striker
Khalid Boulahrouz	Sevilla	Right Center Back	Right Foot	0.0	Center Back
Ivica Dragutinovic	Sevilla	Left Center Back	Left Foot	0.0	Center Back
Christian Bjørnshøj Poulsen	Sevilla	Left Center Midfield	Right Foot	0.0	Center Midfield
Jesús Navas González	Sevilla	Right Midfield	Right Foot	0.1	Right Wing
Óscar Guido Trejo	Mallorca	Right Center Forward	Right Foot	0.0	Striker
Gonzalo Castro Irizábal	Mallorca	Left Wing	Left Foot	0.2307692307692307	Left Wing
Miguel Ángel Moyà Rumbo	Getafe	Goalkeeper	Right Foot	0.0	Goalkeeper
David Navarro Pedrós	Levante	Right Center Back	Right Foot	0.0	Center Back
Héctor Berenguel del Piño	Mallorca	Right Back	Right Foot	0.0	Right Back
Borja Valero Iglesias	Villarreal	Right Midfield	Right Foot	0.0	Right Wing
Daniel González Güiza	Getafe	Center Forward	Right Foot	0.5	Striker
